y Effekt (kW);Fabrikat;Nr Anläggning Placering D/H I drift;Ber;2013 2014 2015 12mån 12mån Månad Tid Hindertid (tim);;;;;;;;;;;;;;
Hög Låg;;Benämning;  Ort Karta (m);MWh;MWh MWh MWh MWh  % MWh % AHT MS YNS  ÖYS PU Ö;;;;;;;;;;;;;
1500;Vestas;782 Offerdal Råshön 6;Änge E19g 82/78 041205;4054;3957 3676 4572 4572 95;2 523 90 20;;;;;;;;;;;;
1500;Vestas;783 Offerdal Råshön 7;Änge E19h 82/78 041203;3955;3965 3548 4881 4881 98 531 89 13;;;;;;;;;;;;;
1500;Vestas;790 Västraby 1 SV;Löberöd D2g 80/78 040806;4800;4307 4820 5324 5324 99;2 698 96 1;;;;;;;;;;;;
1500;Vestas;791 Västraby 2 NV;Västraby D2g 80/78 040806;4800;3769 4333 4738 4738 94;1 642 91 32;;;;;;;;;;;;
1500;Vestas;792 Västraby 3 SO;Västraby D2g 80/78 040806;4800;4028 4562 4867 4867 95;4 655 95 3;;;;;;;;;;;;
1500;Vestas;793 Västraby 4 NO;Västraby D2g 80/78 040806;4800;3696 4287 4731 4731 99;1 617 94 1;;;;;;;;;;;;
1500;Vestas;809 Aapua 1;Aapua M27i 82/78 051003;4465;5009 4423 5070 5070 82;6 651 89;;;;;;;;;;;;
1500;Vestas;810 Aapua 2;Aapua M27i 82/78 050929;4232;4743 4218 4970 4970 91;9 605 88;;;;;;;;;;;;
1500;Vestas;811 Aapua 3;Aapua M27i 82/78 050928;4140;4331 3874 4373 4373 87;6 554 84;;;;;;;;;;;;
1500;Vestas;812 Aapua 4;Aapua M27i 82/78 050928;4344;5005 4162 4814 4814 81;3 596 84;;;;;;;;;;;;
1500;Vestas;813 Aapua 5;Aapua M27i 82/78 050928;4397;4965 4199 5101 5101 90;7 629 88;;;;;;;;;;;;
1500;Vestas;814 Aapua 6;Aapua M27i 82/78 050928;4500;5056 4323 5162 5162 89;6 649 90;;;;;;;;;;;;
1500;Vestas;815 Aapua 7;Aapua M27i 82/78 050928;4613;5212 4194 5226 5226 88;9 665 89;;;;;;;;;;;;
1500;Enercon;888 Nygårdshus 2;Eslöv D2g 66/65 041001;4200;3509 3737 4449 4449 98;5 596 92 45;;;;;;;;;;;;
1500;Enercon;889 p.Olofssoon Energi;Eslöv D2g 70/86 041101;4100;3406 3667 4222 4222 96;7 612 98 0;;;;;;;;;;;;
1500;Vestas;1152 Gans 1;Näsudden I5i 90/80 090301;;6206 6524 7435 7435 99;3 870 98 0;;;;;;;;;;;;
1500;Vestas;1153 Gans 2;Näsudden I5i 90/80 090301;;5945 6600 7373 7373 99;6 861 97 0;;;;;;;;;;;;
1500;Vestas;1154 Gans 3;Näsudden I5i 90/80 090301;;5964 6463 7175 7175 98;9 838 96 0;;;;;;;;;;;;
1500;Vestas;1155 Gans 4;Näsudden I5i 90/80 090301;;5932 6285 7076 7076 98;3 785 91 47;;;;;;;;;;;;
1500;Enercon;1199 Granberget Vindpark 1;Sike L21d 82/98 091103;5500;5184 4542 5270 5270 98;4 612 98 2;;;;;;;;;;;;
1500;Enercon;1200 Granberget Vindpark 2;Sike L21d 82/98 091103;5500;5032 4730 5096 5096 97;8 576 87 87;;;;;;;;;;;;
1500;Enercon;1201 Granberget Vindpark 3;Sike L21d 82/98 091103;5500;5218 4692 5339 5339 98;1 586 98 1;;;;;;;;;;;;
1500;Enercon;1202 Granberget Vindpark 4;Sike L21d 82/98 091103;5500;5119 4651 5229 5229 97;7 691 98 7;;;;;;;;;;;;
1500;Enercon;1203 Granberget Vindpark 5;Sike L21d 82/98 091103;5500;5457 4625 5660 5660 98;8 710 97 10;;;;;;;;;;;;
1500;Enercon;1204 Granberget Vindpark 6;Sike L21d 82/98 091103;5500;5533 5268 5468 5468 99;2 664 98 6;;;;;;;;;;;;
1500;Enercon;1391 Söderbodane 3;Söderboda C9g 82/108 110107;4500;4425 4418 5275 5275 99;4 680 91 0;;;;;;;;;;;;
1500;Suzlon;1393 Assjö 1; Ella;Assjö E7c 88/100 101001;4800;4603 2866 4737 4737 87;7 623 82 61;;;;;;;;;;;
1500;Suzlon;1394 Assjö 2; Elise;Assjö E7c 88/100 101001;4800;4809 2633 5158 5158 94 368 48 320;;;;;;;;;;;;
1500 300;Vestas;386 Slitevind XXIV;Smöjen J7c 66/67 990824;4119;2121 2083 3439 3439 94;1 408 69 188;;;;;;;;;;;;
1500 300;Vestas;387 Slitevind XXV;Smöjen J7c 66/67 990824;3970;3010 3585 3531 3531 94;2 470 82 74;;;;;;;;;;;;
1500 300;Vestas;388 Slitevind XXVI;Smöjen J7c 66/67 990828;4266;0 13 13 86;3 6 7 636;;;;;;;;;;;;
1500 300;Vestas;389 Slitevind XXVII;Smöjen J7c 66/67 990826;4298;3388 3118 3006 3006 91;6 348 80 72;;;;;;;;;;;;
1500 300;Vestas;422 Svireg; Skåls 12;Näs I5f 66/67 000121;4550;3094 3110 2193 2193 88;1;;;;;;;;;;;
1500 300;Vestas;474 Storugns 7;Lärbro J7e 66/78 010317;3377;2723 2841 3230 3230 95;2 482 97 1;;;;;;;;;;;;
1500 300;Vestas;475 Storugns 8;Lärbro J7e 66/78 010313;3430;2826 2973 3528 3528 95 509 96 18;;;;;;;;;;;;;
1500 300;Vestas;476 Storugns 9;Lärbro J7e 66/78 010310;3497;2813 3033 2129 2129 98;8;;;;;;;;;;;;
1500 300;Vestas;617 Sigvards 3;Näs I5f 66/80 011108;4500;3879 4351 4722 4722 95;7 700 94 19;;;;;;;;;;;;
1500 400;NEG Micon;699 Digerberget;Digerberget D17c 72/62 020101;3800;1623 2346 3349 3349 91;7 337 73 166;;;;;;;;;;;;
1500 400;NEG Micon;830 Mungseröd 1;Mungseröd A9f 72/67 060131;2800;1743 1956 2430 2430 74;3 452 85 44;;;;;;;;;;;;
1500 400;NEG Micon;831 Mungseröd 2;Mungseröd A9f 72/67 060131;2800;2549 2661 3081 3081 97;8 425 86 40;;;;;;;;;;;;
1500 400;NEG Micon;832 Mungseröd 3;Mungseröd A9f 72/67 060131;2800;2763 2874 2965 2965 93;6 404 85 50;;;;;;;;;;;;
1500 400;NEG Micon;833 Mungseröd 4;Mungseröd A9f 72/67 060131;2800;2400 2642 2658 2658 90;3 380 83 67;;;;;;;;;;;;
1500 400;NEG Micon;834 Mungseröd 5;Mungseröd A9f 72/67 060131;2800;2832 2743 3083 3083 97;5 443 90 21;;;;;;;;;;;;
1500 400;NEG Micon;835 Mungseröd 6;Mungseröd A9f 72/67 060131;2800;2853 2918 3053 3053 91;9 453 89 9;;;;;;;;;;;;
1530;GE Wind En;605 Utgrunden T1;Offshore G3h 70;5/65 001221;;4742 4440 4996 4996 87;5 688 85 66;;;;;;;;;;;
1530;GE Wind En;606 Utgrunden T2;Offshore G3h 70;5/65 001221;;4575 5069 4419 4419 77;9 647 80 111;;;;;;;;;;;
1530;GE Wind En;607 Utgrunden T3;Offshore G3h 70;5/65 001221;;4910 4830 4450 4450 81;8 236 38 422;;;;;;;;;;;
1530;GE Wind En;608 Utgrunden T4;Offshore G3h 70;5/65 001221;;4271 4863 3263 3263 44;9 597 74 174;;;;;;;;;;;
1530;GE Wind En;609 Utgrunden T5;Offshore G3h 70;5/65 001221;;5049 4664 5419 5419 95;3 517 67 198;;;;;;;;;;;
1530;GE Wind En;610 Utgrunden T6;Offshore G3h 70;5/65 001221;;5038 4466 3909 3909 78;5 579 73 150;;;;;;;;;;;
1530;GE Wind En;611 Utgrunden T7;Offshore G3h 70;5/65 001221;;4788 5117 5442 5442 93 679 85 65;;;;;;;;;;;;
1800;Vestas;858 Stenbrona 1;Stenbrona-Sal C8f 90/95 070204;5200;5746 5571 7040 7040 99;1 852 94 5;;;;;;;;;;;;
1800;Vestas;859 Stenbrona 2;Stenbrona-Sal C8f 90/95 070204;5200;5612 5780 6275 6275 88;6 856 94 5;;;;;;;;;;;;
1800;Vestas;956 Vara Tornum;Kvänum C8f 90/95 080101;5300;5528 5598 5159 5159 96;1;;;;;;;;;;;;
1800;Vestas;1095 Gategården; Bengt C;Gateg C8f 90/65 080501;5500;5493 5330 6642 6642 100 832 93 0;;;;;;;;;;;;
1800;Vestas;1096 Västergården 1;Brålanda C9a 90/95 090109;5300;5008 4778 5522 5522 96;4 685 92 0;;;;;;;;;;;;
1800;Vestas;1097 Västergården 2;Brålanda C9a 90/95 090109;5300;4697 4619 5305 5305 96;8 666 91 2;;;;;;;;;;;;
1800;Vestas;1098 Västergården 3;Brålanda C9a 90/95 090109;5300;4862 4760 5654 5654 99;1 688 92 6;;;;;;;;;;;;
1800;Vestas;1099 Västergården 4;Brålanda C9a 90/95 090109;5300;4850 4614 5408 5408 97;8 592 85 52;;;;;;;;;;;;
1800;Vestas;1100 Tängelsbol 5;Brålanda C9a 90/95 090109;5400;4969 5003 5774 5774 97;9 697 93 0;;;;;;;;;;;;
1800;Vestas;1101 Tängelsbol 6;Brålanda C9a 90/95 090109;5400;5084 2863 5930 5930 98;4 692 92 9;;;;;;;;;;;;
1800;Vestas;1276 Havsnäs Vindkraftpark D15; F21c 90/95 100705;5337;6028 4945 6806 6806 98;2 868 94 1;;;;;;;;;;;;
1800;Vestas;1278 Havnsäs Vindkraftpark D17; F21c 90/95 100705;5337;6652 5367 6622 6622 89;6 919 93 6;;;;;;;;;;;;
1800;Vestas;1282 Havsnäs Vindkraftpark D21; F21c 90/95 100705;5337;6716 5161 6530 6530 87;6 934 93 3;;;;;;;;;;;;
1800;Vestas;1392 Lyngby 1;Everöd D2i 90/95 071022;5200;4606 4601 5769 5769 97;5 748 91 19;;;;;;;;;;;;
1800;Vestas;1418 Stor-Rotliden A-03;Stor-Rotl I21e 90/95 100930;5725;6623 5031 6888 6888 100 939 0;;;;;;;;;;;;;
1800;Vestas;1419 Stor-Rotliden A-04;Stor-Rotl I21e 90/95 101028;5725;6455 5035 6876 6876 100 934 0;;;;;;;;;;;;;
1800;Vestas;1420 Stor-Rotliden A-05;Stor-Rotl I21e 90/95 100928;5725;6403 5030 6733 6733 100 917 0;;;;;;;;;;;;;
1800;Vestas;1421 Stor-Rotliden A-06;Stor-Rotl I21e 90/95 100930;5725;6015 4765 6291 6291 100 875 0;;;;;;;;;;;;;
1800;Vestas;1437 Stor-Rotliden C-03;Stor-Rotl I21e 90/95 100820;5725;5805 4389 6104 6104 100 779 0;;;;;;;;;;;;;
1800;Vestas;1438 Stor-Rotliden C-04;Stor-Rotl I21e 90/95 100820;5725;5462 4090 5740 5740 100 731 0;;;;;;;;;;;;;
1800;Vestas;1445 Stor-Rotliden C-11;Stor-Rotl I21e 90/95 100908;5725;5882 4670 6298 6298 100 822 0;;;;;;;;;;;;;
1800;Vestas;1447 Stor-Rotliden D-02;Stor-Rotl I21e 90/95 100813;5725;6122 4432 6478 6478 100 839 0;;;;;;;;;;;;;
1800;Vestas;1448 Stor-Rotliden D-03;Stor-Rotl I21e 90/95 100813;5725;6436 4542 6609 6609 100 833 0;;;;;;;;;;;;;
1800;Vestas;1453 Stor-Rotliden D-08;Stor-Rotl I21e 90/95 100729;5725;5429 3993 5640 5640 100 685 0;;;;;;;;;;;;;
1800;Vestas;1455 Stor-Rotliden D-10;Stor-Rotl I21e 90/95 100729;5725;5773 3955 5942 5942 100 749 0;;;;;;;;;;;;;
1800;Vestas;1456 Östra Herrestad A-01;Östra D2c 90/80 101011;6333;6644 6849 7215 7215 100 942 0;;;;;;;;;;;;;
1800;Vestas;1457 Östra Herrestad A-02;Östra D2c 90/80 101014;6333;6393 6910 7219 7219 100 952 0;;;;;;;;;;;;;
1800;Vestas;1458 Östra Herrestad A-03;Östra D2c 90/80 101019;6333;6383 6939 7263 7263 100 924 0;;;;;;;;;;;;;
1800;Vestas;1459 Östra Herrestad A-04;Östra D2c 90/80 101008;6333;6235 7018 6666 6666 100 926 0;;;;;;;;;;;;;
1800;Vestas;1460 Östra Herrestad A-05;Östra D2c 90/80 101018;6333;6484 6636 7115 7115 100 932 0;;;;;;;;;;;;;
1800;Vestas;1461 Östra Herrestad B-01;Östra D2c 90/80 101007;6333;6683 7262 7577 7577 100 964 0;;;;;;;;;;;;;
1800;Vestas;1462 Östra Herrestad B-02;Östra D2c 90/80 101021;6333;6619 6895 7570 7570 100 964 0;;;;;;;;;;;;;
1800;Vestas;1463 Östra Herrestad B-03;Östra D2c 90/80 101028;6333;6677 6979 7503 7503 100 959 0;;;;;;;;;;;;;
1800;Vestas;1464 Östra Herrestad B-04;Östra D2c 90/80 101025;6333;6279 6754 7090 7090 100 942 0;;;;;;;;;;;;;
1800;Vestas;1550 Sängsjön 1;Torvsele H21e 90/105 111030;5500;6212 4935 6856 6856 98;8 863 92 3;;;;;;;;;;;;
1800;Vestas;1551 Sängsjön 2;Torvsele H21e 90/105 111030;5500;7260 5803 7574 7574 98;2 917 92 43;;;;;;;;;;;;
1800;Vestas;1552 Sängsjön 3;Torvsele H21e 90/105 111030;5500;6493 4968 6988 6988 94;7 855 89 30;;;;;;;;;;;;
1800;Vestas;1712 Vassmolösa 1;Vassmolösa G4e 100/95 120710;5100;5252 5349 6041 6041 95;9 751 95 0;;;;;;;;;;;;
1800;Vestas;1713 Vassmolösa 2;Vassmolösa G4e 100/95 120710;5100;5188 5167 6096 6096 98;2 737 93 7;;;;;;;;;;;;
1800;Vestas;1714 Vassmolösa 3;Vassmolösa G4e 100/95 120716;5100;4978 5145 6008 6008 97;2 739 94 0;;;;;;;;;;;;
1800;Vestas;1715 Vassmolösa 4;Vassmolösa G4e 100/95 120717;5100;4839 4971 5897 5897 97;6 738 94 0;;;;;;;;;;;;
1800;Vestas;1716 Vassmolösa 5;Vassmolösa G4e 100/95 120711;5100;4715 5088 5956 5956 98;1 736 94 0;;;;;;;;;;;;
1800;Vestas;1724 Högtjärnklacks Vindpark; H G12h 100/95 120905;5400;6476 6220 7359 7359 95;6 1060 99 0;;;;;;;;;;;;
1800;Vestas;1725 Högtjärnklacks Vindpark; A G12h 100/95 120908;5400;6224 6129 7576 7576 97;4 1069 99 0;;;;;;;;;;;;
1800;Vestas;1726 Högtjärnklacks Vindpark; H G12h 100/95 120905;5400;6552 6419 7864 7864 99;3 1081 97 15;;;;;;;;;;;;
1800;Vestas;1727 Högtjärnklacks Vindpark; R G12h 100/95 120904;5400;6730 5950 7610 7610 99;3 1060 99 2;;;;;;;;;;;;
1800;Vestas;1728 Högtjärnklacks Vindpark; To G12h 100/95 120912;5400;6122 5929 7221 7221 99;5 1005 99 0;;;;;;;;;;;;
1800;Vestas;1729 Högtjärnklacks Vindpark; D G12h 100/95 120710;5400;6186 4807 6926 6926 97;5 995 99 0;;;;;;;;;;;;
1800;Vestas;1730 Högtjärnklacks Vindpark; Ås G12h 100/95 120712;5400;6839 6496 7873 7873 98;7 1019 92 48;;;;;;;;;;;;
1800;Vestas;1731 Rockneby 1;Rockneby G5b 100/95 120731;5200;4691 4389 5036 5036 97 667 100 0;;;;;;;;;;;;;
1800;Vestas;1732 Rockneby 2;Rockneby G5b 100/95 120731;5200;4771 4448 5152 5152 96;4 675 100 0;;;;;;;;;;;;
1800;Vestas;1733 Rockneby 3;Rockneby G5b 100/95 120801;5200;4602 4363 4938 4938 94;6 632 97 0;;;;;;;;;;;;
1800;Vestas;1734 Rockneby 4;Rockneby G5b 100/95 120813;5200;4554 4316 4987 4987 97;5 656 100 0;;;;;;;;;;;;
1800;Vestas;1735 Rockneby 5;Rockneby G5b 100/95 120814;5200;4650 4420 4957 4957 97 631 99 0;;;;;;;;;;;;;
1800;Vestas;1850 Strömmestad 1;Strömmesta E8c 100/95 131101;6000;1419 4941 6304 6304 99 792 96 0;;;;;;;;;;;;;
1800;Vestas;1851 Strömmestad 2;Strömmesta E8c 100/95 131101;6000;1350 4850 5983 5983 99;3 766 97 0;;;;;;;;;;;;
1800;Vestas;1904 Legeved 1;Legeved E3a 100/95 140601;5950;1439 6470 6470 98;1 812 91 4;;;;;;;;;;;;
1800;Vestas;1905 Legeved 2;Legeved E3a 100/95 140601;5950;1481 6760 6760 98;3 828 93 3;;;;;;;;;;;;
1800;Vestas;1999 Mungseröd Etapp II; 07;Tan A9f 100/95 141027;5200;3251 3251 100 794 98 0;;;;;;;;;;;;
1800;Vestas;2000 Mungseröd Etapp II; 08;Tan A9f 100/95 141027;5200;3462 3462 100 799 94 0;;;;;;;;;;;;
1800;Vestas;2001 Mungseröd Etapp II; 11;Tan A9f 100/95 141027;5200;3642 3642 100 899 96 0;;;;;;;;;;;;
1800;Vestas;2002 Mungseröd Etapp II; 12;Tan A9f 100/95 141027;5200;3285 3285 100 795 95 0;;;;;;;;;;;;
1800;Vestas;2003 Mungseröd Etapp II; 13;Tan A9f 100/95 141027;5200;3253 3253 100 805 97 0;;;;;;;;;;;;
1800;Vestas;2004 Mungseröd Etapp II; 15;Tan A9f 100/95 141027;5200;3438 3438 100 759 88 0;;;;;;;;;;;;
1800;Vestas;2005 Mungseröd Etapp II; 16;Tan A9f 100/95 141027;5200;3376 3376 100 825 97 0;;;;;;;;;;;;
1800;Vestas;2006 Mungseröd Etapp II; 17;Tan A9f 100/95 141027;5200;3530 3530 100 802 95 0;;;;;;;;;;;;
1800;Vestas;2012 Skalleberg 06;Hjo E7g 100/95 150227;7200;3581 3581 100 989 95 0;;;;;;;;;;;;;
1800;Vestas;2013 Skalleberg 07;Hjo E7g 100/95 150227;6600;3440 3440 100 965 96 0;;;;;;;;;;;;;
1800;Vestas;2015 Skalleberg 09;Hjo E7g 100/95 150227;6900;3122 3122 100 907 99 0;;;;;;;;;;;;;
1800;Vestas;2021 Ramsnäs 5;Ramsnäs E9e 100/95 140718;5200;3384 3384 100 899 97 0;;;;;;;;;;;;;
1800;Vestas;2022 Ramsnäs 6;Ramsnäs E9e 100/95 140718;5200;2948 2948 100 790 96 0;;;;;;;;;;;;;
1800;Vestas;2023 Ramsnäs 7;Ramsnäs E9e 100/95 140718;5200;3337 3337 100 912 99 0;;;;;;;;;;;;;
2000;Vestas;738 Skåls Näs; Slitevind XXIX;S I5f 80/78 031214;6000;5018 5129 5880 5880 96;9 720 89 54;;;;;;;;;;;
2000;Enercon;774 Orup 1;Rolsberga D2g 70/65 041201;3500;3236 3559 4063 4063 99;8 505 93 0;;;;;;;;;;;;
2000;Enercon;821 Långå 1;Långå D17e 70/85 051007;5400;3981 3419 4595 4595 97;1 622 94;;;;;;;;;;;;
2000;Enercon;822 Långå 2;Långå D17e 70/85 051017;5400;3102 3330 4705 4705 97;1 651 96;;;;;;;;;;;;
2000;Enercon;823 Långå 3;Långå D17e 70/85 051024;5400;3854 3343 4626 4626 97;9 612 96;;;;;;;;;;;;
2000;Enercon;824 Långå 4;Långå D17e 70/85 051031;5400;4225 3446 4622 4622 92;4 685 96;;;;;;;;;;;;
2000;Enercon;825 Långå 5;Långå D17e 70/85 051108;5400;3970 3651 4727 4727 97;4 617 93;;;;;;;;;;;;
2000;Enercon;845 Odarslöv 1;Eslöv C2f 70/64 060720;4900;4081 4615 5345 5345 99;2 772 98 0;;;;;;;;;;;;
2000;Enercon;846 Odarslöv 2;Eslöv C2i 70/64 060720;4900;3948 4322 5081 5081 97;8 735 96 19;;;;;;;;;;;;
2000;Enercon;847 Odarslöv 3;Eslöv C2i 70/64 060720;4900;3872 4223 4932 4932 98;9 732 98 0;;;;;;;;;;;;
2000;Enercon;856 Värlinge 1;Stehag C2i 82/78 070119;5500;4438 5158 5221 5221 87;4 706 84 117;;;;;;;;;;;;
2000;Enercon;857 Värlinge 2;Stehag C2i 82/78 070309;5500;4337 4867 5060 5060 89;3 366 53 340;;;;;;;;;;;;
2000;Enercon;868 Stora Istad 1;Stora Istad H5a 82/78 070501;5500;5404 5490 6574 6574 98;5 908 99 0;;;;;;;;;;;;
2000;Enercon;869 Stora Istad 2;Stora Istad H5a 82/78 070501;5500;4914 5264 6317 6317 97;6 877 97 9;;;;;;;;;;;;
2000;Enercon;870 Stora Istad 3;Stora Istad H5a 82/78 070501;5500;5036 4930 6065 6065 94;9 852 96;;;;;;;;;;;;
2000;Enercon;871 Stora Istad 4;Stora Istad H5a 82/78 070501;5500;4924 4811 4638 4638 99;6;;;;;;;;;;;;
2000;Enercon;872 Stora Istad 5;Stora Istad H5a 82/78 070501;5500;4728 4858 6037 6037 94;6 864 99;;;;;;;;;;;;
2000;Vestas;878 Hornberget 1;Aspliden I23e 90/80 070111;6000;6108 4813 5795 5795 100 691 82 0;;;;;;;;;;;;;
2000;Vestas;879 Hornberget 2;Aspliden I23e 90/80 070111;6000;5662 4503 5881 5881 100 787 97 0;;;;;;;;;;;;;
2000;Vestas;880 Hornberget 3;Aspliden I23e 90/80 070111;6000;6928 5192 6851 6851 100 938 97 0;;;;;;;;;;;;;
2000;Vestas;881 Hornberget 4;Aspliden I23e 90/80 070111;6000;7733 5282 7112 7112 100 998 98 0;;;;;;;;;;;;;
2000;Vestas;882 Hornberget 5;Aspliden I23e 90/80 070111;6000;5198 4715 6027 6027 100 878 96 0;;;;;;;;;;;;;
2000;Vestas;939 Lyngby 2; Rose-Marie G;Ly D2i 90/95 071201;5200;4492 4673 5367 5367 94;9 671 81 104;;;;;;;;;;;
2000;Enercon;957 Entorp 1;Ardala D8d 82/78 071126;4400;3801 3740 5010 5010 97;2 726 99 6;;;;;;;;;;;;
2000;Enercon;958 Entorp 2;Ardala D8d 82/78 071126;4400;3550 3946 4874 4874 97;4 686 99 6;;;;;;;;;;;;
2000;Vestas;959 Långås vindpark 1;Långnäs B5f 90/80 071214;5082;4829 5135 6129 6129 97;2 735 79 111;;;;;;;;;;;;
2000;Vestas;960 Långås vindpark 2;Långnäs B5f 90/80 071214;5150;4951 5493 6367 6367 96;5 879 91 17;;;;;;;;;;;;
2000;Vestas;961 Långås vindpark 3;Långnäs B5f 90/80 071214;4995;4661 5271 5823 5823 96;8 784 86 47;;;;;;;;;;;;
2000;Vestas;962 Långås vindpark 4;Långnäs B5f 90/80 071214;5091;4810 5337 6263 6263 97;7 848 93 6;;;;;;;;;;;;
2000;Enercon;966 Skörstorp 1;Skörstorp D7h 82/98 080118;5500;5343 5456 6562 6562 95;8 913 95 36;;;;;;;;;;;;
2000;Enercon;967 Skörstorp 2;Skörstorp D7h 82/98 080118;5500;5252 5409 6449 6449 96;9 876 97 23;;;;;;;;;;;;
2000;Enercon;968 Skörstorp 3;Skörstorp D7h 82/98 080118;5500;5192 5561 6564 6564 95;8 899 98 14;;;;;;;;;;;;
2000;Vestas;969 Munkagård 1;Tvååker B5f 90/80 061220;5300;5977 6431 7404 7404 98;1 1021 93 7;;;;;;;;;;;;
2000;Vestas;970 Munkagård 2;Tvååker B5f 90/80 061220;5300;5623 6382 7302 7302 97;7 1007 95 0;;;;;;;;;;;;
2000;Vestas;971 Munkagård 3;Tvååker B5f 90/80 061220;5300;5728 5953 7108 7108 97;6 998 95 0;;;;;;;;;;;;
2000;Enercon;972 Sundsholm;Luttra D7h 82/79 071219;4300;4274 4726 5073 5073 92;3 660 92 35;;;;;;;;;;;;
2000;Enercon;987 Odarslöv 4;Lund C2f 71/63 080714;5400;4164 4856 5417 5417 99;6 675 95 2;;;;;;;;;;;;
2000;Enercon;988 Univ. Wind Odarslöv 5;Lund C2f 71/63 080714;5400;4247 4890 5046 5046 92;7 673 94 32;;;;;;;;;;;;
2000;Enercon;989 Univ. Wind Odarslöv 6;Lund C2f 71/63 080714;5400;4418 5123 5363 5363 95;2 706 89 24;;;;;;;;;;;;
2000;Enercon;1003 Univ.Power Egby 1;Egby H5a 70/63 080815;5200;3063 3391 3557 3557 98;8 491 98;;;;;;;;;;;;
2000;Enercon;1004 Univ.Power Egby 2;Egby H5a 70/63 080816;5200;3035 3337 3593 3593 98 509 97;;;;;;;;;;;;;
2000;Enercon;1005 Univ.Power Egby 3;Egby H5a 70/63 080817;5200;3122 3404 3723 3723 99 532 95;;;;;;;;;;;;;
2000;Enercon;1006 Univ.Power Egby 4;Egby H5a 70/63 080818;5200;3166 3348 3502 3502 97;6 473 90;;;;;;;;;;;;
2000;Enercon;1016 Kvantenburg; Ekovind;Bolst C9a 82/98 080520;5500;5657 5452 6470 6470 96;4 820 96 16;;;;;;;;;;;
2000;Enercon;1034 Kinne-Vedums Vind;Kinne- D8g 82/98 090120;4500;4581 4651 5922 5922 97;5 761 99 2;;;;;;;;;;;;
2000;Enercon;1047 Silkomhöjden 1;Silkomhöjd E12d 82/98 081210;5200;4883 4844 4962 4962 86;8 317 52 357;;;;;;;;;;;;
2000;Enercon;1048 Silkomhöjden 2;Silkomhöjd E12d 82/98 081210;5200;5569 5420 6431 6431 96;9 863 100 22;;;;;;;;;;;;
2000;Enercon;1049 Silkomhöjden 3;Silkomhöjd E12d 82/98 081210;5200;4641 4358 5423 5423 96;9 740 99 22;;;;;;;;;;;;
2000;Enercon;1050 Köjkeberget 4; Anders A;Va E12d 82/98 090325;5200;5592 5150 6302 6302 98;3 814 96 28;;;;;;;;;;;
2000;Enercon;1051 Köjkeberget 5; Anders A;Va E12d 82/98 090325;5200;5375 4917 5867 5867 96;8 780 95 38;;;;;;;;;;;
2000;Enercon;1052 Köjkeberget 6; Anders A;Va E12d 82/98 090325;5200;5661 5287 6591 6591 98;3 850 99 22;;;;;;;;;;;
2000;Vestas;1056 Högberget Denise;Bjursås F13h 90/95 080807;5000;6223 5385 7149 7149 97;3 1060 99 0;;;;;;;;;;;;
2000;Vestas;1057 Högberget Herman;Bjursås F13h 90/95 080812;5000;6447 5762 7203 7203 97;3 1054 99 0;;;;;;;;;;;;
2000;Vestas;1058 Högberget Victoria;Bjursås F13h 90/95 080814;5000;6445 5287 5894 5894 84;4 1031 95 28;;;;;;;;;;;;
2000;Vestas;1059 Högberget Ulrik;Bjursås F13h 90/95 080805;5000;6194 5571 7296 7296 99;2 1037 99 4;;;;;;;;;;;;
2000;Vestas;1060 Högberget Arne;Bjursås F13h 90/95 080804;5000;6133 5392 6970 6970 99;1 986 99 0;;;;;;;;;;;;
2000;Vestas;1061 SOTARED nr 1 Elsa;Långå B5f 90/105 090201;6000;5840 5909 6962 6962 93;5 976 89 30;;;;;;;;;;;;
2000;Vestas;1062 SOTARED nr 2 Ellen;Långå B5f 90/105 090201;6000;5528 6093 6677 6677 91;6 964 92 18;;;;;;;;;;;;
2000;Vestas;1063 SOTARED nr 3 Ella;Långås B5f 90/105 090201;6000;5642 4980 3227 3227 46;2 853 84 88;;;;;;;;;;;;
2000;Vestas;1064 SOTARED nr 4 Elise;Långå B5f 90/105 090201;6000;5556 5672 6379 6379 93;8 913 93 1;;;;;;;;;;;;
2000;Vestas;1065 SOTARED nr 5 Elisabet;Lå B5f 90/105 090201;6000;5676 6306 5504 5504 81 908 90 23;;;;;;;;;;;;;
2000;Enercon;1071 Markbygden; Dragaliden 1; K24e 82/108 090101;6000;6001 5492 6443 6443 97;5 885 94 27;;;;;;;;;;;
2000;Enercon;1072 Markbygden; Dragaliden 2; K24e 82/108 090101;6000;6079 5319 6433 6433 98;8 878 97 5;;;;;;;;;;;
2000;Enercon;1073 Markbygden; Dragaliden 3; K24e 82/137 101001;6000;6724 4903 7152 7152 98;3 967 95 8;;;;;;;;;;;
2000;Enercon;1074 Markbygden; Dragaliden 4; K24e 82/108 101101;6000;5627 5261 6089 6089 98;2 831 97 2;;;;;;;;;;;
2000;Enercon;1075 Markbygden; Dragaliden 5; K24e 82/108 101101;6000;5389 5093 6000 6000 99;3 823 96 2;;;;;;;;;;;
2000;Enercon;1076 Markbygden; Dragaliden 6; K24e 82/137 101101;6000;6657 5361 7071 7071 99;3 953 96 2;;;;;;;;;;;
2000;Enercon;1077 Markbygden; Dragaliden 7; K24e 82/108 101001;6000;5497 4735 6182 6182 99;1 839 97 2;;;;;;;;;;;
