y Effekt (kW);Fabrikat;Nr Anläggning Placering D/H I drift;Ber;2013 2014 2015 12mån 12mån Månad Tid Hindertid (tim);;;;;;;;;;;;;;
Hög Låg;;Benämning;  Ort Karta (m);MWh;MWh MWh MWh MWh  % MWh % AHT MS YNS  ÖYS PU Ö;;;;;;;;;;;;;
600;WindWorld;301 Kastlösa Väst V9;Kastlösa G4c 42/40 980201;1220;1047 1132 1391 1391 94;3 210 87 7;;;;;;;;;;;;
600;WindWorld;302 Kastlösa Väst V10;Kastlösa G4c 42/40 980201;1230;1002 1047 887 887 61;3 118 62 218;;;;;;;;;;;;
600;WindWorld;303 Kastlösa Väst V13;Kastlösa G4c 42/40 980201;1210;847 752 198 198 93;2;;;;;;;;;;;;
600;WindWorld;304 Kastlösa Väst V14;Kastlösa G4c 42/40 980201;1200;877 967 239 239 98;5;;;;;;;;;;;;
600;WindWorld;305 Kastlösa Väst V15;Kastlösa G4c 42/40 980201;1220;990 818 1181 1181 91;9 145 67 178;;;;;;;;;;;;
600;WindWorld;306 Kastlösa Väst V16;Kastlösa G4c 42/40 980201;1250;1081 1147 1387 1387 98;4 189 79 80;;;;;;;;;;;;
600;WindWorld;307 LT Klägstorp;Klägstorp C4b 42/50 980421;990;875 934 576 576 99;8;;;;;;;;;;;;
600;WindWorld;309 Björkliden;St. Isie C1i 42/45 971125;1490;1368 1600 1664 1664 98;7 224 88 0 39;;;;;;;;;;;;
600;WindWorld;311 Lilla Isie;Lilla Isie C1i 42/45 971212;1500;1418 1673 1757 1757 99;6 248 93 1;;;;;;;;;;;;
600;Vestas;315 Grebban 1;Tanumshede A9f 44/45 980610;1100;923 900 1188 1188 96;3 174 83 22;;;;;;;;;;;;
600;Vestas;316 Grebban 2;Tanumshede A9f 44/45 980611;1100;889 893 1136 1136 94;3 169 82 16;;;;;;;;;;;;
600;WindWorld;318 Bengtssons Vindmölla;Mell C4b 42/50 980921;1000;886 934 994 994 99;4;;;;;;;;;;;;
600;WindWorld;321 Triton Energi;Kövlinge C4b 42/50 980921;1000;844 828 1176 1176 99;4 148 75 3;;;;;;;;;;;;
600;WindWorld;343 Kastlösa Väst V1;Kastlösa G4c 42/40 981001;1210;1187 1252 1616 1616 94;6 244 88 12;;;;;;;;;;;;
600;WindWorld;344 Kastlösa Väst V6;Kastlösa G4c 42/40 981001;;880 1146 1132 1132 98;;;;;;;;;;;;;
600;WindWorld;345 Kastlösa Väst V12;Kastlösa G4c 42/40 981001;1210;889 731 638 638 43;4 64 38 480;;;;;;;;;;;;
600;WindWorld;349 Kövlinge Vind;Kövlinge C4b 42/50 981101;1000;691 996 1191 1191 99;5 167 66 1;;;;;;;;;;;;
600;WindWorld;350 Mammarps Vind;Mammarp C4e 42/50 981101;1000;826 1046 1259 1259 99;5 161 66 1;;;;;;;;;;;;
600;Vestas;369 Elise Ruuthsbo;Bjäresjö D2b 44/45 990120;1325;1042 1131 1237 1237 98;1 168 78 66;;;;;;;;;;;;
600;Vestas;370 Elinor Ruuthsbo;Bjäresjö D2b 44/45 990120;1325;1095 1171 1286 1286 98;4 193 87 5;;;;;;;;;;;;
600;Enercon;397 Bjälbo; Lennart;Skänninge F8d 44/65 991001;1300;1207 1169 1502 1502 96;1 213 98 0;;;;;;;;;;;
600;Enercon;402 Kyrkebys 3;Hangvar J7b 44/65 991130;1400;915 1004 1208 1208 98;1 172 93 26;;;;;;;;;;;;
600;Enercon;403 Kyrkebys 4;Hangvar J7b 44/65 991130;1400;800 1004 1250 1250 98;3 186 98 0;;;;;;;;;;;;
600;Enercon;414 Virke 1;Kävlinge C2i 44/65 991028;1350;1161 1474 1575 1575 96;2 177 81 119;;;;;;;;;;;;
600;Enercon;415 Virke 2;Kävlinge C2i 44/65 991028;1350;1184 1375 1657 1657 98;8 220 96 0;;;;;;;;;;;;
600;Enercon;416 Skarhult 1;Skarhult C2i 44/65 991103;1350;1109 1190 1352 1352 94;9 206 95 1;;;;;;;;;;;;
600;Enercon;417 Skarhult 2;Skarhult C2i 44/65 991101;1350;1044 1187 1434 1434 97;8 199 94 13;;;;;;;;;;;;
600;Enercon;418 Fjälkinge 1;Fjälkinge E3a 44/65 990913;1300;969 1082 1250 1250 94 91 43 408;;;;;;;;;;;;;
600;Enercon;419 Fjälkinge 2;Fjälkinge E3a 44/65 990912;1300;1054 1125 1392 1392 98;7 182 93 10;;;;;;;;;;;;
600;Enercon;420 Tjärby;Laholm C4e 44/46 991112;1200;842 981 1238 1238 97;6 193 92 13;;;;;;;;;;;;
600;Enercon;437 Freja Olsäng;Olsäng G3d 44/46 000706;1250;1149 1344 1408 1408 98;3 212 94 11;;;;;;;;;;;;
600;Enercon;439 Skörpinge;Ängelholm C3h 44/67 000213;1450;1174 1345 1548 1548 99;3 204 96 0;;;;;;;;;;;;
600;Enercon;440 Genevad;Laholm C4e 44/67 000301;1500;1057 1223 1491 1491 98;2 222 94 0;;;;;;;;;;;;
600;Enercon;454 Brönneslöv 1;Brönneslöv C2i 44/65 001201;1350;1245 1413 1205 1205 87;6;;;;;;;;;;;;
600;Enercon;455 Brönneslöv 2;Brönneslöv C2i 44/65 001201;1400;1134 1401 1353 1353 91;8;;;;;;;;;;;;
600;Enercon;456 Ö. Karaby;Ö. Karaby C2i 44/65 001201;1300;1458 1656 1796 1796 97;8 237 96 5;;;;;;;;;;;;
600;Enercon;457 Kornheddinge Mölla;Kornhe C2f 44/65 001201;1300;1289 1479 1670 1670 98;8 227 97 0;;;;;;;;;;;;
600;Enercon;459 Skagsudde; Linda;Skagsud J19a 44/65 001231;1400;1722 1693 1821 1821 97;3 214 86 61;;;;;;;;;;;
600;Enercon;469 Kristinetorp 1;Kristinetorp D2g 44/65 010201;1350;1197 1377 1407 1407 96 199 96 0;;;;;;;;;;;;;
600;Enercon;470 Kristinetorp 2;Kristinetorp D2g 44/65 010201;1350;1265 1428 1434 1434 92;1 199 95 0;;;;;;;;;;;;
600;Enercon;471 Kristinetorp 3;Kristinetorp D2g 44/65 010201;1350;1184 1411 1566 1566 98;4 212 96 0;;;;;;;;;;;;
600;Enercon;472 Kristinetorp 4;Kristinetorp D2g 44/65 010201;1350;1290 1360 1531 1531 97;9 206 96 0;;;;;;;;;;;;
600;Enercon;489 Rynge III;Rynge D2a 44/50 010601;1350;1273 1429 1582 1582 99;6 213 96 2;;;;;;;;;;;;
